date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:58	69285/69285	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2017:08:54%20GMT	http://droitthemes.com/html/saasland/home-chat.html	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/home-chat.html	(from )
12:58:59	68/68	---M--	200	added ('OK')	text/plain	date:Thu,%2006%20Aug%202020%2005:37:55%20GMT	http://droitthemes.com/robots.txt		(from )
12:58:59	2384/2384	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2017:08:56%20GMT	http://droitthemes.com/html/saasland/img/favicon.png	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/img/favicon.png	(from http://droitthemes.com/html/saasland/home-chat.html)
12:58:59	142047/142047	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jul%202020%2017:08:52%20GMT	http://droitthemes.com/html/saasland/css/bootstrap.min.css	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/css/bootstrap.min.css	(from http://droitthemes.com/html/saasland/home-chat.html)
12:58:59	17516/17516	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jul%202020%2017:09:44%20GMT	http://droitthemes.com/html/saasland/vendors/themify-icon/themify-icons.css	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/vendors/themify-icon/themify-icons.css	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:00	11557/11557	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jul%202020%2017:09:44%20GMT	http://droitthemes.com/html/saasland/vendors/simple-line-icon/simple-line-icons.css	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/vendors/simple-line-icon/simple-line-icons.css	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:00	71403/71403	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jul%202020%2017:09:42%20GMT	http://droitthemes.com/html/saasland/vendors/font-awesome/css/all.css	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/vendors/font-awesome/css/all.css	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:00	960/960	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jul%202020%2017:09:42%20GMT	http://droitthemes.com/html/saasland/vendors/flaticon/flaticon.css	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/vendors/flaticon/flaticon.css	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:01	83671/83671	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jul%202020%2017:09:38%20GMT	http://droitthemes.com/html/saasland/vendors/animation/animate.css	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/vendors/animation/animate.css	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:01	3356/3356	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jul%202020%2017:09:44%20GMT	http://droitthemes.com/html/saasland/vendors/owl-carousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/vendors/owl-carousel/assets/owl.carousel.min.css	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:01	7857/7857	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jul%202020%2017:09:42%20GMT	http://droitthemes.com/html/saasland/vendors/magnify-pop/magnific-popup.css	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/vendors/magnify-pop/magnific-popup.css	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:01	26396/26396	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jul%202020%2017:09:42%20GMT	http://droitthemes.com/html/saasland/vendors/elagent/style.css	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/vendors/elagent/style.css	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:01	42839/42839	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jul%202020%2017:09:44%20GMT	http://droitthemes.com/html/saasland/vendors/scroll/jquery.mCustomScrollbar.min.css	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/vendors/scroll/jquery.mCustomScrollbar.min.css	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:02	496857/496857	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2000:10:44%20GMT	http://droitthemes.com/html/saasland/css/style.css	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/css/style.css	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:04	143244/143244	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2001:01:02%20GMT	http://droitthemes.com/html/saasland/css/responsive.css	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/css/responsive.css	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:04	4370/4370	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2017:08:56%20GMT	http://droitthemes.com/html/saasland/img/logo.png	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/img/logo.png	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:04	59427/59427	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2017:09:46%20GMT	http://droitthemes.com/html/saasland/home-tracking.html	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/home-tracking.html	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:05	93192/93192	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2017:08:54%20GMT	http://droitthemes.com/html/saasland/home-event.html	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/home-event.html	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:06	81123/81123	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2017:08:54%20GMT	http://droitthemes.com/html/saasland/home-security.html	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/home-security.html	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:10	30231/30231	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jul%202020%2017:09:20%20GMT	http://droitthemes.com/html/saasland/img/mega-menu-img/home-track.jpg	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/img/mega-menu-img/home-track.jpg	(from http://droitthemes.com/html/saasland/home-chat.html)
12:59:10	23448/23448	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2017:09:36%20GMT	http://droitthemes.com/html/saasland/home-split.html	C:/My%20Web%20Sites/xyz5/droitthemes.com/html/saasland/home-split.html	(from http://droitthemes.com/html/saasland/home-chat.html)
